Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20),H2X(38),N2X(46)
8.285466891516153e-24,0.05842168493353951,1.0433936774119854e-20,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,4.82789182828958e-109,1.8058401665808297e-123,0.002,2.7297472501928744e-188,2.596298715822519e-157,2.243056761989499e-19,7.942701968704096e-95,6.732163674781383e-20,1.999687586598125e-57,8.219233404400084e-21,9.227930707161873e-21,2.2147033697188624e-21,1.8599337045805553e-40,5.760234017925536e-177,2.682245468651486e-131,8.864389560505143e-98,5.032792768724967e-54,1.0413082944477617e-54,5.035783402240059e-114
1.657813227729079e-23,0.05842168493353951,2.0876938654039154e-20,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,7.728223079616748e-108,1.1571875716677724e-121,0.002,2.802702447926007e-185,6.657753296803345e-155,4.488062313519677e-19,2.5448025487952397e-93,1.3470176318871966e-19,1.6009659649393797e-56,1.6445607758759635e-20,1.8463878730315968e-20,4.431330895275882e-21,7.444581945445146e-40,2.9570833243234048e-174,3.439051618585217e-129,1.4189624964800714e-96,4.0303159895197313e-53,8.338911737458989e-54,1.6122257852686378e-112
3.3163463048840066e-23,0.05842168493353951,4.1762942413880487e-20,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,1.2368035360714348e-106,7.410643554276152e-120,0.002,2.873783736976951e-182,1.7058236134948731e-152,8.978073416578297e-19,8.148392520279998e-92,2.6946201607053397e-19,1.2812593381914702e-55,3.2898356467476024e-20,3.693577477662384e-20,8.864585946389922e-21,2.978802479882202e-39,1.5160380205859875e-171,4.405687475718464e-127,2.270868127800431e-95,3.2258862993652803e-52,6.674509193678813e-53,5.1603626673095165e-111
6.633412459193862e-23,0.05842168493353951,8.353494993357407e-20,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,1.97911641554283e-105,4.744298229925705e-118,0.002,2.9447102254927007e-179,4.36875104298096e-150,1.795809562268859e-18,2.6082898003761588e-90,5.389825218341737e-19,1.025202138643976e-54,6.580385388489788e-20,7.387956686923832e-20,1.7731096048618e-20,1.1917149599216807e-38,7.76726812613534e-169,5.641650102086184e-125,3.633811511225894e-94,2.5813626021860608e-51,5.340959606633685e-52,1.651514478249248e-109
1.3267544767813572e-22,0.05842168493353951,1.670789649730049e-19,0.938,0.0,0.0,0.03922277586628465,0.01,0.05,3.166772417252011e-104,3.036826591162828e-116,0.002,3.0163850052345393e-176,1.1186361807699658e-147,3.591814003488139e-18,8.347814307956851e-89,1.0780235333614965e-18,8.20239586470452e-54,1.316148487196979e-19,1.4776715105446226e-19,3.5464116253074164e-20,4.76724780325242e-38,3.9781611277254824e-166,7.222829411098412e-123,5.8144364233577256e-93,2.065351538746756e-50,4.2733086520255003e-51,5.285163809926418e-108
2.6535809385052992e-22,0.05842168493353951,3.341669950520411e-19,0.938,0.0,0.0,0.03922277586628464,0.01,0.049999999999999996,5.066989737096221e-103,1.9437212644819032e-114,0.002,3.0892912424599733e-173,2.8640106320318544e-145,7.18382288591558e-18,2.6715065089470137e-87,2.156105556416316e-18,6.562228210622901e-53,2.632368383891232e-19,2.9554231942488997e-19,7.093015666198645e-20,1.906976716777017e-37,2.037156450011611e-163,9.246192832145824e-121,9.303368681690026e-92,1.65238582018213e-49,3.4188633215159454e-50,1.6913032158963415e-106
5.307233861953183e-22,0.05842168493353951,6.68343055210812e-19,0.938,0.0,0.0,0.039222775866284636,0.009999999999999998,0.04999999999999999,8.10732250722428e-102,1.244030330341502e-112,0.0019999999999999996,3.163696914408801e-170,7.332253815198177e-143,1.4367840650726e-17,8.549150332382451e-86,4.312269602526653e-18,5.249907179370206e-52,5.264808177272752e-19,5.91092656165665e-19,1.4186223747981103e-19,7.628062060823875e-37,1.0431106273537577e-160,1.1835748424574775e-118,1.4885606214160243e-90,1.321950493098987e-48,2.735177219811855e-49,5.412251565589907e-105
1.061453970884895e-21,0.05842168493353951,1.3366951755311475e-18,0.938,0.0,0.0,0.039222775866284615,0.009999999999999997,0.049999999999999975,1.2971877817138026e-100,7.961950025265552e-111,0.0019999999999999987,3.239760140010606e-167,1.8771064627394937e-140,2.873587618016897e-17,2.735780828154807e-84,8.624597694750116e-18,4.199975588511402e-51,1.052968776400784e-18,1.182193329646893e-18,2.8372639911546007e-19,3.051255863349722e-36,5.340947926445202e-158,1.5150155819910156e-116,2.3817143001427902e-89,1.057577129520019e-47,2.1881764014160868e-48,1.731933504924892e-103
2.1229151402640487e-21,0.05842168493353951,2.6733994161829917e-18,0.938,0.0,0.0,0.03922277586628457,0.009999999999999993,0.04999999999999995,2.075529607438955e-99,5.095697908236887e-109,0.0019999999999999974,3.317583247474156e-164,4.8054558877105823e-138,5.747194723834345e-17,8.754583005809543e-83,1.72492538792082e-17,3.3600004089498725e-50,2.1059446937366212e-18,2.3643946766080605e-18,5.674547223867576e-19,1.2205085531721362e-35,2.7346220462530013e-155,1.9392454068620026e-114,3.810756724932287e-88,8.460683976900691e-47,1.750554971462959e-47,5.542208021933701e-102
4.245837479022356e-21,0.05842168493353951,5.346807897531379e-18,0.938,0.0,0.0,0.03922277586628449,0.009999999999999985,0.049999999999999885,3.3209225764615474e-98,3.2612626267370556e-107,0.0019999999999999944,3.3972405011197653e-161,1.2302048151937195e-135,1.1494408935184652e-16,2.8014800587722864e-81,3.449856624816899e-17,2.6880083024453077e-49,4.211896528363574e-18,4.728797370525242e-18,1.1349113689293508e-18,4.882046628385346e-35,1.4001410037902575e-152,2.4822504164533415e-112,6.09722183566145e-87,6.768573958025325e-46,1.4004495173199843e-46,1.7735098959274352e-100
8.49168215653897e-21,0.05842168493353951,1.069362486040694e-17,0.938,0.0,0.0,0.03922277586628432,0.009999999999999967,0.04999999999999977,5.313702299431375e-97,2.087213189959688e-105,0.0019999999999999883,3.478792317667148e-158,3.1493347048803273e-133,2.2988837356746914e-16,8.964757782691749e-80,6.899719098626906e-17,2.150409832079714e-48,8.423800197438594e-18,9.457602758338991e-18,2.2698246620145286e-18,1.9528211345000046e-34,7.168759087477224e-150,3.1772909621079995e-110,9.755563797695675e-86,5.414869877212854e-45,1.1203618299143751e-45,5.675236992714767e-99
