Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2(13)
5.528665623442308e-24,0.0505958752244895,1.3752745995028036e-21,2.459376414225186e-40,2.611406142547748e-22,2.2545992016565267e-182,9.502168300712544e-21,0.938,1.2459447940460665e-98,4.180502828601154e-19,1.15094363744958e-56,8.12689370120903e-21,5.730310831261625e-20,0.0,0.0,0.03396873397174756,0.01,0.05,1.0655695362287027e-113,1.4787015260054078e-127,0.002,2.0055854212117504e-197,5.860584239872692e-55
1.1059731883282117e-23,0.0505958752244895,2.7511463655707462e-21,9.840709143029878e-40,5.223946200051009e-22,1.155888331861397e-179,1.900846259721422e-20,0.938,3.9894832883187094e-97,8.362820899420553e-19,9.21104705227233e-56,1.6257316231640627e-20,1.1463109856544555e-19,0.0,0.0,0.03396873397174756,0.01,0.05,1.7053078596364507e-112,9.469622903571282e-126,0.002,2.056450470123073e-194,4.6908427167599106e-54
2.2121864402961734e-23,0.0505958752244895,5.50288989770665e-21,3.936924445708917e-39,1.044902631505753e-21,5.922077464879852e-177,3.802105119021972e-20,0.938,1.2770283885809668e-95,1.6727457041059374e-18,7.37023712191556e-55,3.251816129250169e-20,2.2928707907110156e-19,0.0,0.0,0.03396873397174756,0.01,0.05,2.7288098567542183e-111,6.062457983635832e-124,0.002,2.1072047453643176e-191,3.753624535421825e-53
4.424612944232096e-23,0.0505958752244895,1.100637696197852e-20,1.5748979451100804e-38,2.0899186545070563e-21,3.0331099666572354e-174,7.604622837623932e-20,0.938,4.0871209373809637e-94,3.34567293243371e-18,5.896749549376805e-54,6.503985141421527e-20,4.585990400824033e-19,0.0,0.0,0.03396873397174756,0.01,0.05,4.366349595875439e-110,3.8805810090948716e-122,0.0019999999999999996,2.158494490255015e-188,3.003279819558397e-52
8.849465952103942e-23,0.0505958752244895,2.2013351090522522e-20,6.299848123220528e-38,4.179950700509661e-21,1.5532099717096217e-171,1.5209658274831292e-19,0.938,1.307979524254953e-92,6.6915273890892866e-18,4.717623592200257e-53,1.300832316576083e-19,9.17222962104965e-19,0.0,0.0,0.03396873397174755,0.009999999999999998,0.05,6.98636241345573e-109,2.4837663921567775e-120,0.001999999999999999,2.2106654537105245e-185,2.4027759414191523e-51
1.7699171967847633e-22,0.0505958752244895,4.4027299347611584e-20,2.5199905187570198e-37,8.360014792514856e-21,7.953094757375654e-169,3.0419729149259774e-19,0.938,4.185695803896332e-91,1.3383236302400573e-17,3.774188457232015e-52,2.601699921442577e-19,1.8344708061499234e-18,0.0,0.0,0.033968733971747544,0.009999999999999995,0.05,1.1178342309573482e-107,1.5896727487634733e-118,0.0019999999999999983,2.2639093976179295e-182,1.9222815893025395e-50
3.5398583999335016e-22,0.0505958752244895,8.805519586179395e-20,1.0080064614878841e-36,1.6720142976525205e-20,4.0721534085219997e-166,6.083987089817177e-19,0.938,1.3394484700439085e-89,2.6766654129023673e-17,3.019386599652899e-51,5.203435131170097e-19,3.6689664942391765e-18,0.0,0.0,0.03396873397174753,0.009999999999999988,0.05,1.7885477653753896e-106,1.0174104821715778e-116,0.0019999999999999966,2.3183394704717814e-179,1.5378496062828396e-49
7.079740806230978e-22,0.0505958752244895,1.7611098889017551e-19,4.0320463540133105e-36,3.344039934454572e-20,2.084985782853046e-163,1.216801543962159e-18,0.938,4.2862764050848934e-88,5.3533489782271954e-17,2.4155236133651193e-50,1.040690555060327e-18,7.337957870415028e-18,0.0,0.0,0.033968733971747496,0.009999999999999974,0.05,2.861686821275812e-105,6.5114908401282175e-115,0.0019999999999999927,2.374028897696083e-176,1.2302894190410146e-48
1.4159505618825933e-21,0.0505958752244895,3.5222257494700617e-19,1.6128226432270858e-35,6.688091208058602e-20,1.067523789813932e-160,2.4336072139318475e-18,0.938,1.371615057812776e-86,1.0706716108877694e-16,1.932424624168669e-49,2.0813846389382157e-18,1.467594062275612e-17,0.0,0.0,0.033968733971747433,0.009999999999999948,0.05,4.578707231382356e-104,4.167374539146391e-113,0.0019999999999999853,2.431030822896723e-173,9.8423542886021e-48
2.831903524401584e-21,0.0505958752244895,7.044457470609377e-19,6.451298776163233e-35,1.3376193755266374e-19,5.465750140632228e-158,4.8672185539064494e-18,0.938,4.389178758106162e-85,2.141345037018205e-16,1.5459419927298986e-48,4.162772806659009e-18,2.935190612739584e-17,0.0,0.0,0.03396873397174731,0.009999999999999894,0.05,7.325938224087519e-103,2.6671262335283507e-111,0.00199999999999997,2.4893884813282875e-170,7.873899005527347e-47
5.663809449439566e-21,0.0505958752244895,1.408892091289881e-18,2.5805211511189753e-34,2.675239884968075e-19,2.7984713262181763e-155,9.734441233996545e-18,0.938,1.4045388942791258e-83,4.28269188928042e-16,1.2367545115434787e-47,8.325549141960657e-18,5.870383713650548e-17,0.0,0.0,0.03396873397174705,0.009999999999999787,0.049999999999999996,1.1721506481649902e-101,1.7069628785561103e-109,0.00199999999999994,2.5491404192431943e-167,6.299125434456265e-46
1.132762129951553e-20,0.0505958752244895,2.8177847797520896e-18,1.0322087885798506e-33,5.350480903850488e-19,1.4328191760784958e-152,1.9468886594740316e-17,0.938,4.494527168301024e-82,8.565385593810225e-16,9.894039761800554e-47,1.66511018120042e-17,1.1740769915404547e-16,0.0,0.0,0.033968733971746545,0.009999999999999573,0.04999999999999999,1.8754414629157447e-100,1.0924569107659636e-107,0.00199999999999988,2.6103231758149767e-164,5.0393028398522486e-45
2.2655244999667455e-20,0.0505958752244895,5.6355701566937915e-18,4.128835810595479e-33,1.0700962941613453e-18,7.336038935307569e-150,3.8937777318482166e-17,0.938,1.4382491268558994e-80,1.7130773002891338e-15,7.915233277242555e-46,3.330220714985226e-17,2.3481542318640846e-16,0.0,0.0,0.03396873397174553,0.009999999999999145,0.049999999999999975,3.0007066813561023e-99,6.991726367792192e-106,0.0019999999999997598,2.6729726658275685e-161,4.031443269232603e-44
4.5310492399971305e-20,0.0505958752244895,1.1271140910646348e-17,1.6515344555025875e-32,2.140192701713196e-18,3.7560531515618924e-147,7.787555877498312e-17,0.938,4.602397898368179e-79,3.4261547821139577e-15,6.332187208948111e-45,6.660441781659231e-17,4.696308712402663e-16,0.0,0.0,0.033968733971743506,0.009999999999998288,0.04999999999999994,4.80113096275292e-98,4.4747055594749e-104,0.0019999999999995195,2.737124897301954e-158,3.2251550150235234e-43
9.062098720057902e-20,0.0505958752244895,2.254228241882805e-17,6.606138084612519e-32,4.2803855168139255e-18,1.9230995247788983e-144,1.5575112172405404e-16,0.938,1.4727674380296244e-77,6.852309745798008e-15,5.065750002073176e-44,1.3320883911424808e-16,9.392617673045095e-16,0.0,0.0,0.033968733971739454,0.009999999999996574,0.04999999999999987,7.681809758568679e-97,2.863811776515073e-102,0.0019999999999990386,2.8028163488087617e-155,2.580124172989119e-42
1.8124197680179442e-19,0.0505958752244895,4.508456543629781e-17,2.642455286424138e-31,8.560771147003501e-18,9.846270360496043e-142,3.115022477664717e-16,0.938,4.712855977061593e-76,1.3704619673303726e-14,4.052600095709294e-43,2.664176815662624e-16,1.8785235592591067e-15,0.0,0.0,0.03396873397173135,0.009999999999993148,0.04999999999999973,1.2290895788554737e-95,1.8328396062890412e-100,0.0019999999999980767,2.8700841727417335e-152,2.0640994045639213e-41
3.6248395600422526e-19,0.0505958752244895,9.01691314756628e-17,1.0569821251324381e-30,1.7121542407335105e-17,5.0412906246802265e-139,6.23004500428411e-16,0.938,1.5081139397480921e-74,2.7409239528865627e-14,3.2420801143235404e-42,5.328353658971018e-16,3.75704714247274e-15,0.0,0.0,0.03396873397171513,0.009999999999986296,0.049999999999999455,1.9665433402588683e-94,1.1730173694584266e-98,0.001999999999996153,2.9389663096614067e-149,1.6512795529753947e-40
